Material ID,Formula
mp-1113486,RbNa2NiF6
mp-1111052,RbNa2GaF6
mp-1111029,RbNa2FeF6
mp-1114100,RbNa2CrF6
mp-1111053,RbNa2CoF6
mp-1113290,RbNa2AsF6
mp-1113899,RbNa2AlF6
mp-1114614,Rb2YTlI6
mp-1114373,Rb2YTlF6
mp-1114613,Rb2YTlCl6
mp-1114612,Rb2YTlBr6
mp-1114529,Rb2YInI6
mp-1114397,Rb2YInF6
mp-1114528,Rb2YInCl6
mp-1114527,Rb2YInBr6
mp-1114519,Rb2YHgI6
mp-1114679,Rb2YHgF6
mp-1114647,Rb2YHgCl6
mp-1114518,Rb2YHgBr6
mp-1112410,Rb2YCuI6
mp-1111481,Rb2YCuF6
mp-1113562,Rb2YCuCl6
mp-1112413,Rb2YCuBr6
mp-1113604,Rb2YAuI6
mp-1113446,Rb2YAuF6
mp-1113603,Rb2YAuCl6
mp-1113602,Rb2YAuBr6
mp-1113701,Rb2YAgI6
mp-1113877,Rb2YAgF6
mp-1113700,Rb2YAgCl6
mp-1113556,Rb2YAgBr6
mp-1114673,Rb2VHgF6
mp-1113883,Rb2VCuF6
mp-1113445,Rb2VAuF6
mp-1113555,Rb2VAgF6
mp-1112412,Rb2TmCuCl6
mp-1113580,Rb2TmAgCl6
mp-1114372,Rb2TlVF6
mp-1114610,Rb2TlSbI6
mp-1114484,Rb2TlSbF6
mp-1114609,Rb2TlSbCl6
mp-1114608,Rb2TlSbBr6
mp-1114483,Rb2TlRuF6
mp-1114482,Rb2TlRhF6
mp-1114481,Rb2TlPdF6
mp-1114516,Rb2TlNiF6
mp-1114480,Rb2TlMoF6
mp-1114479,Rb2TlIrF6
mp-1114396,Rb2TlInI6
mp-989532,Rb2TlInF6
mp-989550,Rb2TlInCl6
mp-1114395,Rb2TlInBr6
mp-1114517,Rb2TlHgI6
mp-1114678,Rb2TlHgF6
mp-1114646,Rb2TlHgCl6
mp-1114645,Rb2TlHgBr6
mp-1114476,Rb2TlGaI6
mp-989565,Rb2TlGaF6
mp-1114474,Rb2TlGaCl6
mp-1114606,Rb2TlGaBr6
mp-1114371,Rb2TlFeF6
mp-1113834,Rb2TlCuF6
mp-1111482,Rb2TlCuCl6
mp-1111484,Rb2TlCuBr6
mp-1114710,Rb2TlCrF6
mp-1114473,Rb2TlCoF6
mp-1114370,Rb2TlBiF6
mp-1114472,Rb2TlBiBr6
mp-1113642,Rb2TlAuI6
mp-1113277,Rb2TlAuF6
mp-1113341,Rb2TlAuCl6
mp-1113449,Rb2TlAuBr6
mp-1114605,Rb2TlAsI6
mp-1114681,Rb2TlAsF6
mp-1114470,Rb2TlAsCl6
mp-1114604,Rb2TlAsBr6
mp-1113699,Rb2TlAgI6
mp-1113579,Rb2TlAgF6
mp-1113339,Rb2TlAgCl6
mp-1113582,Rb2TlAgBr6
mp-1114685,Rb2TiTlF6
mp-1114344,Rb2TiHgF6
mp-1113455,Rb2TiAuF6
mp-1113581,Rb2TiAgF6
mp-1112416,Rb2TbCuCl6
mp-1113698,Rb2TbAgCl6
mp-1114485,Rb2TaTlF6
mp-1114384,Rb2TaHgF6
mp-1113561,Rb2TaCuI6
mp-1113344,Rb2TaCuBr6
mp-1111046,Rb2TaAuF6
mp-1113697,Rb2TaAgI6
mp-1113851,Rb2TaAgF6
mp-1113617,Rb2TaAgCl6
mp-1113439,Rb2TaAgBr6
mp-1112430,Rb2SmCuCl6
mp-1113616,Rb2SmAgCl6
mp-1114514,Rb2ScTlI6
mp-1114684,Rb2ScTlF6
mp-1114663,Rb2ScTlCl6
mp-1114611,Rb2ScTlBr6
mp-1114526,Rb2ScInI6
mp-1114394,Rb2ScInF6
mp-1114650,Rb2ScInCl6
mp-1114393,Rb2ScInBr6
mp-1113502,Rb2ScHgI6
mp-1111002,Rb2ScHgF6
mp-1113387,Rb2ScHgCl6
mp-1113386,Rb2ScHgBr6
mp-1113560,Rb2ScCuCl6
mp-1113639,Rb2ScAuI6
mp-1113454,Rb2ScAuF6
mp-1113638,Rb2ScAuCl6
mp-1113399,Rb2ScAuBr6
mp-1113626,Rb2ScAgI6
mp-1113625,Rb2ScAgF6
mp-1113338,Rb2ScAgCl6
mp-1113696,Rb2ScAgBr6
mp-1113637,Rb2SbAuI6
mp-1113457,Rb2SbAuF6
mp-1113456,Rb2SbAuCl6
mp-1113661,Rb2SbAuBr6
mp-1113465,Rb2RuAuF6
mp-1111047,Rb2RhAuF6
mp-1112437,Rb2PrCuI6
mp-1113382,Rb2PrCuCl6
mp-1113601,Rb2PrCuBr6
mp-1113721,Rb2PrAgI6
mp-1113681,Rb2PrAgF6
mp-1113680,Rb2PrAgCl6
mp-1113713,Rb2PrAgBr6
mp-1113467,Rb2PdAuF6
mp-1111033,Rb2NiAuF6
mp-1113275,Rb2NiAgF6
mp-1113600,Rb2NdCuI6
mp-1112436,Rb2NdCuCl6
mp-1112460,Rb2NdCuBr6
mp-1113720,Rb2NdAgI6
mp-1113716,Rb2NdAgF6
mp-1113719,Rb2NdAgCl6
mp-1113715,Rb2NdAgBr6
mp-1114683,Rb2NbTlF6
mp-1114080,Rb2NbHgF6
mp-1111031,Rb2NbCuF6
mp-1113479,Rb2NbAuF6
mp-1113730,Rb2NbAgF6
mp-1114603,Rb2NaYI6
mp-13926,Rb2NaYF6
mp-1114602,Rb2NaYCl6
mp-1114601,Rb2NaYBr6
mp-560671,Rb2NaVF6
mp-567498,Rb2NaTmCl6
mp-1114600,Rb2NaTlI6
mp-989548,Rb2NaTlF6
mp-989563,Rb2NaTlCl6
mp-1114462,Rb2NaTlBr6
mp-15626,Rb2NaTiF6
mp-1114460,Rb2NaTbCl6
mp-1114599,Rb2NaTaI6
mp-1114459,Rb2NaTaF6
mp-1114458,Rb2NaTaCl6
mp-1114598,Rb2NaTaBr6
mp-1114597,Rb2NaSmCl6
mp-1114457,Rb2NaScI6
mp-1114456,Rb2NaScF6
mp-1114671,Rb2NaScCl6
mp-1114662,Rb2NaScBr6
mp-1114596,Rb2NaSbI6
mp-989541,Rb2NaSbF6
mp-989545,Rb2NaSbCl6
mp-1114595,Rb2NaSbBr6
mp-1114708,Rb2NaRuF6
mp-14038,Rb2NaRhF6
mp-1114453,Rb2NaPrI6
mp-1114452,Rb2NaPrF6
mp-1114451,Rb2NaPrCl6
mp-1114594,Rb2NaPrBr6
mp-1114367,Rb2NaPdF6
mp-556353,Rb2NaNiF6
mp-1114449,Rb2NaNdI6
mp-1114366,Rb2NaNdF6
mp-1114593,Rb2NaNdCl6
mp-1114592,Rb2NaNdBr6
mp-1114448,Rb2NaNbF6
mp-1114447,Rb2NaMoI6
mp-560963,Rb2NaMoF6
mp-1114446,Rb2NaMoCl6
mp-1114445,Rb2NaMoBr6
mp-1114644,Rb2NaMnF6
mp-1114444,Rb2NaLuCl6
mp-1114443,Rb2NaLaCl6
mp-1114365,Rb2NaIrF6
mp-1114591,Rb2NaInI6
mp-989578,Rb2NaInF6
mp-989547,Rb2NaInCl6
mp-1114590,Rb2NaInBr6
mp-1114441,Rb2NaGdCl6
mp-989400,Rb2NaGaF6
mp-1114669,Rb2NaGaCl6
mp-1110631,Rb2NaGaBr6
mp-558078,Rb2NaFeF6
mp-1114589,Rb2NaEuCl6
mp-1114439,Rb2NaErCl6
mp-1114438,Rb2NaDyCl6
mp-560936,Rb2NaCrF6
mp-559563,Rb2NaCoF6
mp-1114513,Rb2NaCeI6
mp-1114437,Rb2NaCeF6
mp-1114588,Rb2NaCeCl6
mp-1114587,Rb2NaCeBr6
mp-1114586,Rb2NaBiI6
mp-560037,Rb2NaBiF6
mp-989520,Rb2NaBiCl6
mp-1114585,Rb2NaBiBr6
mp-1114363,Rb2NaAuF6
mp-1114661,Rb2NaAuBr6
mp-989523,Rb2NaAsF6
mp-1114362,Rb2NaAsCl6
mp-1114660,Rb2NaAsBr6
mp-1079583,Rb2NaAlF6
mp-1114433,Rb2NaAlCl6
mp-1113478,Rb2MoAuF6
mp-1114711,Rb2MnTlF6
mp-1113488,Rb2MnHgF6
mp-1113881,Rb2MnCuF6
mp-1113495,Rb2MnAuF6
mp-1113738,Rb2MnAgF6
mp-1111035,Rb2LuCuCl6
mp-1113737,Rb2LuAgCl6
mp-1114584,Rb2LiYI6
mp-1114432,Rb2LiYF6
mp-1114583,Rb2LiYCl6
mp-1114582,Rb2LiYBr6
mp-1114705,Rb2LiVF6
mp-1114667,Rb2LiTmCl6
mp-1114360,Rb2LiTlF6
mp-989579,Rb2LiTlCl6
mp-1114581,Rb2LiTlBr6
mp-1114704,Rb2LiTiF6
mp-1114431,Rb2LiTbCl6
mp-1114580,Rb2LiTaI6
mp-1114703,Rb2LiTaF6
mp-1114579,Rb2LiTaCl6
mp-1114430,Rb2LiTaBr6
mp-1114578,Rb2LiSmCl6
mp-1114702,Rb2LiScF6
mp-1114429,Rb2LiScCl6
