id,a_atom,b1_atom,b2_atom,x_atom,cubic,ortho,ind_gap
Cs.Ag.Al.Br-cubic,Cs,Ag,Al,Br,1,0,1.0274
Cs.Ag.As.Br-cubic,Cs,Ag,As,Br,1,0,0.781
Cs.Ag.Bi.Br-cubic,Cs,Ag,Bi,Br,1,0,1.1399
Cs.Ag.Ga.Br-cubic,Cs,Ag,Ga,Br,1,0,0
Cs.Ag.In.Br-cubic,Cs,Ag,In,Br,1,0,0.1818
Cs.Ag.Sb.Br-cubic,Cs,Ag,Sb,Br,1,0,0.8519
Cs.Au.Al.Br-cubic,Cs,Au,Al,Br,1,0,0
Cs.Au.As.Br-cubic,Cs,Au,As,Br,1,0,0
Cs.Au.Bi.Br-cubic,Cs,Au,Bi,Br,1,0,0.1284
Cs.Au.Ga.Br-cubic,Cs,Au,Ga,Br,1,0,0
Cs.Au.In.Br-cubic,Cs,Au,In,Br,1,0,0
Cs.Au.Sb.Br-cubic,Cs,Au,Sb,Br,1,0,0
Cs.Cu.Al.Br-cubic,Cs,Cu,Al,Br,1,0,0
Cs.Cu.As.Br-cubic,Cs,Cu,As,Br,1,0,0.2252
Cs.Cu.Bi.Br-cubic,Cs,Cu,Bi,Br,1,0,0.5649
Cs.Cu.Ga.Br-cubic,Cs,Cu,Ga,Br,1,0,0
Cs.Cu.In.Br-cubic,Cs,Cu,In,Br,1,0,0
Cs.Cu.Sb.Br-cubic,Cs,Cu,Sb,Br,1,0,0.3254
Cs.In.Al.Br-cubic,Cs,In,Al,Br,1,0,1.9981
Cs.In.As.Br-cubic,Cs,In,As,Br,1,0,0.1267
Cs.In.Bi.Br-cubic,Cs,In,Bi,Br,1,0,0.0181
Cs.In.Ga.Br-cubic,Cs,In,Ga,Br,1,0,1.016
Cs.In.In.Br-cubic,Cs,In,In,Br,1,0,0.8082
Cs.In.Sb.Br-cubic,Cs,In,Sb,Br,1,0,0.087
Cs.Tl.Al.Br-cubic,Cs,Tl,Al,Br,1,0,2.6282
Cs.Tl.As.Br-cubic,Cs,Tl,As,Br,1,0,0.8269
Cs.Tl.Bi.Br-cubic,Cs,Tl,Bi,Br,1,0,0.6537
Cs.Tl.Ga.Br-cubic,Cs,Tl,Ga,Br,1,0,1.4557
Cs.Tl.In.Br-cubic,Cs,Tl,In,Br,1,0,1.6335
Cs.Tl.Sb.Br-cubic,Cs,Tl,Sb,Br,1,0,0.6989
K.Ag.Al.Br-cubic,K,Ag,Al,Br,1,0,1.0488
K.Ag.As.Br-cubic,K,Ag,As,Br,1,0,0.7009
K.Ag.Bi.Br-cubic,K,Ag,Bi,Br,1,0,1.1002
K.Ag.Ga.Br-cubic,K,Ag,Ga,Br,1,0,0
K.Ag.In.Br-cubic,K,Ag,In,Br,1,0,0.131
K.Ag.Sb.Br-cubic,K,Ag,Sb,Br,1,0,0.7905
K.Au.Al.Br-cubic,K,Au,Al,Br,1,0,0
K.Au.As.Br-cubic,K,Au,As,Br,1,0,0
K.Au.Bi.Br-cubic,K,Au,Bi,Br,1,0,0.0912
K.Au.Ga.Br-cubic,K,Au,Ga,Br,1,0,0
K.Au.In.Br-cubic,K,Au,In,Br,1,0,0
K.Au.Sb.Br-cubic,K,Au,Sb,Br,1,0,0
K.Cu.Al.Br-cubic,K,Cu,Al,Br,1,0,0
K.Cu.As.Br-cubic,K,Cu,As,Br,1,0,0.1748
K.Cu.Bi.Br-cubic,K,Cu,Bi,Br,1,0,0.5536
K.Cu.Ga.Br-cubic,K,Cu,Ga,Br,1,0,0
K.Cu.In.Br-cubic,K,Cu,In,Br,1,0,0
K.Cu.Sb.Br-cubic,K,Cu,Sb,Br,1,0,0.2896
K.In.Al.Br-cubic,K,In,Al,Br,1,0,1.8402
K.In.As.Br-cubic,K,In,As,Br,1,0,0.1191
K.In.Bi.Br-cubic,K,In,Bi,Br,1,0,0.1729
K.In.Ga.Br-cubic,K,In,Ga,Br,1,0,0.793
K.In.In.Br-cubic,K,In,In,Br,1,0,0.6186
K.In.Sb.Br-cubic,K,In,Sb,Br,1,0,0.0877
K.Tl.Al.Br-cubic,K,Tl,Al,Br,1,0,2.5609
K.Tl.As.Br-cubic,K,Tl,As,Br,1,0,0.6552
