Bond,Energy
Hg-Tl,2.9
He-Hg,3.8
He-Xe,3.8
He-He,3.809
Al-Ne,3.9
Ne-Zn,3.92
Ar-Ga,3.96
Ar-He,3.96
B-Ne,3.97
Cd-Ne,3.97
Ne-Ne,4.07
Ga-Kr,4.08
Ar-Tl,4.09
Hg-Ne,4.14
Kr-Tl,4.14
Ar-In,4.18
Tl-Xe,4.18
Ar-Ne,4.27
Kr-Ne,4.31
Ne-Xe,4.31
Ar-Ca,4.44
K-Kr,4.6
Ar-B,4.62
In-Kr,4.85
Ar-Ar,4.91
Ar-Zn,5
K-Xe,5
Kr-Zn,5
Ar-Kr,5.11
Ca-Kr,5.15
Ar-C,5.158
Cd-Kr,5.17
Ga-Xe,5.27
Ar-Xe,5.28
Ar-Hg,5.32
Kr-Kr,5.39
Ar-Cd,5.57
Kr-Xe,5.66
I-Kr,5.67
Al-Ar,5.69
Hg-Kr,5.75
Ar-Si,5.86
Br-Xe,5.94
Xe-Xe,6.023
Al-Kr,6.05
In-Xe,6.48
K-Zn,6.5
Cd-Xe,6.54
F-Kr,6.6
Hg-Xe,6.65
Kr-Mg,6.71
Cl-Xe,7.08
Cd-K,7.3
Hg-Zn,7.3
Ca-Xe,7.31
Cd-Cd,7.36
Al-Xe,7.39
Cs-Hg,8
Hg-Hg,8.1
Hg-Rb,8.4
Hg-K,8.8
Mg-Xe,9.7
Cd-Na,10.2
Hg-Na,10.8
Mg-Mg,11.3
Hg-Li,13.16
F-Xe,14.18
Yb-Yb,16.3
Ca-Ca,16.52
Sr-Sr,16.64
Zn-Zn,22.2
N-Xe,26.9
In-Zn,32.2
Hg-I,34.69
O-Xe,36.4
H-Hg,39.844
D-Hg,42.05
Hg-T,43.14
Cs-Cs,43.919
Eu-Eu,45.2
Rb-Rb,48.898
Cs-Rb,49.57
Co-Mn,50
Al-Ca,52.7
K-Rb,53.723
Sm-Sm,54
Tm-Tm,54
K-K,56.96
Be-Be,59
Tl-Tl,59.4
Mn-Mn,61.6
Cs-Na,63.2
Na-Rb,63.887
K11100_S09.indb,65
K-Na,65.994
K11100_S09.indb,66
K11100_S09.indb,67
Li-Mg,67.4
K11100_S09.indb,68
Cd-H,69
K11100_S09.indb,69
Dy-Dy,70.3
Ho-Ho,70.3
Cs-Li,72.9
Na-Na,74.805
Br-Hg,74.9
Er-Er,75
Al-Li,76.1
Li-Pb,78.7
In-In,82
K-Li,82
Nd-Nd,82.8
Ca-Li,84.9
H-Zn,85.8
Pb-Pb,86.6
Li-Na,87.181
D-Zn,88.7
Cl-Hg,92
In-Li,92.5
Ga-In,94
As-Se,96
Cd-I,97.2
Ag-Mn,99.2
Cd-Te,100
Cr-Pb,105
Li-Li,105
Te-Zn,117.6
Ti-Ti,117.6
Fe-Fe,118
Bi-Tl,120.9
Fe-I,123
Ag-Ho,124
