"formula","A","B1","B2","X","tolerance_factor","irA","rsA","rpA","rdA","XcA","eaA","ipA","hoalA","lualA","irB1","rsB1","rpB1","rdB1","XcB1","eaB1","ipB1","hoalB1","lualB1","irB2","rsB2","rpB2","rdB2","XcB2","eaB2","ipB2","hoalB2","lualB2","irX","rsX","rpX","rdX","XcX","eaX","ipX","hoalX","lualX"
"Ag2CuInF6","Ag","Cu","In","F","0.8725998576344628","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","0.77","1.191","0.325","0.312","1.9","118.4","7.72638","7","8","0.8","1.093","1.382","0.483","1.78","28.9","28.03","11","12","1.33","0.396","0.36","0.0","3.98","328.0","17.42282","4","3"
"Ag2CuInCl6","Ag","Cu","In","Cl","0.84198842152849","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","0.77","1.191","0.325","0.312","1.9","118.4","7.72638","7","8","0.8","1.093","1.382","0.483","1.78","28.9","28.03","11","12","1.81","0.66","0.725","0.0","3.16","349.0","12.96764","6","5"
"Ag2CuInI6","Ag","Cu","In","I","0.8243656946496433","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","0.77","1.191","0.325","0.312","1.9","118.4","7.72638","7","8","0.8","1.093","1.382","0.483","1.78","28.9","28.03","11","12","2.2","0.876","1.044","0.406","2.66","295.2","10.45126","12","11"
"Ag2CuInBr6","Ag","Cu","In","Br","0.8346178400890396","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","0.77","1.191","0.325","0.312","1.9","118.4","7.72638","7","8","0.8","1.093","1.382","0.483","1.78","28.9","28.03","11","12","1.96","0.73","0.851","0.224","2.96","324.6","11.81381","9","8"
"Ag2CuYF6","Ag","Cu","Y","F","0.8524474359800874","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","0.77","1.191","0.325","0.312","1.9","118.4","7.72638","7","8","0.9","1.693","0.646","0.865","1.22","29.6","20.52","10","11","1.33","0.396","0.36","0.0","3.98","328.0","17.42282","4","3"
"Ag2CuYCl6","Ag","Cu","Y","Cl","0.8260718162065904","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","0.77","1.191","0.325","0.312","1.9","118.4","7.72638","7","8","0.9","1.693","0.646","0.865","1.22","29.6","20.52","10","11","1.81","0.66","0.725","0.0","3.16","349.0","12.96764","6","5"
"Ag2CuYI6","Ag","Cu","Y","I","0.8107847112122523","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","0.77","1.191","0.325","0.312","1.9","118.4","7.72638","7","8","0.9","1.693","0.646","0.865","1.22","29.6","20.52","10","11","2.2","0.876","1.044","0.406","2.66","295.2","10.45126","12","11"
"Ag2CuYBr6","Ag","Cu","Y","Br","0.8196872883879835","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","0.77","1.191","0.325","0.312","1.9","118.4","7.72638","7","8","0.9","1.693","0.646","0.865","1.22","29.6","20.52","10","11","1.96","0.73","0.851","0.224","2.96","324.6","11.81381","9","8"
"Ag2CuAgF6","Ag","Cu","Ag","F","0.8915694197569511","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","0.73","1.191","0.325","0.312","1.9","118.4","7.72638","7","8","0.75","1.286","0.462","0.536","1.93","125.6","34.83","10","11","1.33","0.396","0.36","0.0","3.98","328.0","17.42282","4","3"
"Ag2CuAgCl6","Ag","Cu","Ag","Cl","0.8568470407319341","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","0.73","1.191","0.325","0.312","1.9","118.4","7.72638","7","8","0.75","1.286","0.462","0.536","1.93","125.6","34.83","10","11","1.81","0.66","0.725","0.0","3.16","349.0","12.96764","6","5"
