formula,A,B1,B2,X,tolerance_factor,Eg,irA,rsA,rpA,rdA,XcA,eaA,ipA,hoalA,lualA,irB1,rsB1,rpB1,rdB1,XcB1,eaB1,ipB1,hoalB1,lualB1,irB2,rsB2,rpB2,rdB2,XcB2,eaB2,ipB2,hoalB2,lualB2,irX,rsX,rpX,rdX,XcX,eaX,ipX,hoalX,lualX
Cs2AlAgCl6,Cs,Ag,Al,Cl,0.960156034,2.236636,1.88,0.922,2.518,0,0.79,45.5,3.8939,12,13,1.28,1.286,0.462,0.536,1.93,125.6,7.5762,10,11,0.535,1.044,1.312,0,1.61,42.5,28.44765,5,6,1.81,0.66,0.725,0,3.16,349,12.96764,6,5
Cs2AlAgBr6,Cs,Ag,Al,Br,0.946918933,1.210029,1.88,0.922,2.518,0,0.79,45.5,3.8939,12,13,1.28,1.286,0.462,0.536,1.93,125.6,7.5762,10,11,0.535,1.044,1.312,0,1.61,42.5,28.44765,5,6,1.96,0.73,0.851,0.224,2.96,324.6,11.81381,9,8
Cs2AsAgCl6,Cs,Ag,As,Cl,0.952271541,1.254947,1.88,0.922,2.518,0,0.79,45.5,3.8939,12,13,1.28,1.286,0.462,0.536,1.93,125.6,7.5762,10,11,0.58,0.826,1.001,0.247,2.18,78,28.351,8,9,1.81,0.66,0.725,0,3.16,349,12.96764,6,5
Cs2AsAgBr6,Cs,Ag,As,Br,0.939546727,0.762618,1.88,0.922,2.518,0,0.79,45.5,3.8939,12,13,1.28,1.286,0.462,0.536,1.93,125.6,7.5762,10,11,0.58,0.826,1.001,0.247,2.18,78,28.351,8,9,1.96,0.73,0.851,0.224,2.96,324.6,11.81381,9,8
Cs2AgBiCl6,Cs,Ag,Bi,Cl,1.064989397,1.802331,1.88,0.922,2.518,0,0.79,45.5,3.8939,12,13,1.28,1.286,0.462,0.536,1.93,125.6,7.5762,10,11,0,0.963,1.295,0.542,2.02,91.2,25.559,15,16,1.81,0.66,0.725,0,3.16,349,12.96764,6,5
Cs2AgBiI6,Cs,Ag,Bi,I,1.015843545,0.80201,1.88,0.922,2.518,0,0.79,45.5,3.8939,12,13,1.28,1.286,0.462,0.536,1.93,125.6,7.5762,10,11,0,0.963,1.295,0.542,2.02,91.2,25.559,15,16,2.2,0.876,1.044,0.406,2.66,295.2,10.45126,12,11
Cs2AgBiBr6,Cs,Ag,Bi,Br,1.044342323,1.291934,1.88,0.922,2.518,0,0.79,45.5,3.8939,12,13,1.28,1.286,0.462,0.536,1.93,125.6,7.5762,10,11,0,0.963,1.295,0.542,2.02,91.2,25.559,15,16,1.96,0.73,0.851,0.224,2.96,324.6,11.81381,9,8
Cs2GaAgCl6,Cs,Ag,Ga,Cl,0.945371023,0.989034,1.88,0.922,2.518,0,0.79,45.5,3.8939,12,13,1.28,1.286,0.462,0.536,1.93,125.6,7.5762,10,11,0.62,0.96,0.298,0.276,1.81,28.9,30.71,8,9,1.81,0.66,0.725,0,3.16,349,12.96764,6,5
Cs2AgInCl6,Cs,Ag,In,Cl,0.915517201,1.010681,1.88,0.922,2.518,0,0.79,45.5,3.8939,12,13,1.28,1.286,0.462,0.536,1.93,125.6,7.5762,10,11,0.8,1.093,1.382,0.483,1.78,28.9,28.03,11,12,1.81,0.66,0.725,0,3.16,349,12.96764,6,5
Cs2PAgCl6,Cs,Ag,P,Cl,0.977237462,0.909918,1.88,0.922,2.518,0,0.79,45.5,3.8939,12,13,1.28,1.286,0.462,0.536,1.93,125.6,7.5762,10,11,0.44,0.803,0.919,0,2.19,71,30.2027,5,6,1.81,0.66,0.725,0,3.16,349,12.96764,6,5
