"formula","A","B1","B2","X","tolerance_factor","irA","rsA","rpA","rdA","XcA","eaA","ipA","hoalA","lualA","irB1","rsB1","rpB1","rdB1","XcB1","eaB1","ipB1","hoalB1","lualB1","irB2","rsB2","rpB2","rdB2","XcB2","eaB2","ipB2","hoalB2","lualB2","irX","rsX","rpX","rdX","XcX","eaX","ipX","hoalX","lualX"
"Ag2AgAgF6","Ag","Ag","Ag","F","0.7870143705317224","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","0.75","1.286","0.462","0.536","1.93","125.6","34.83","10","11","1.33","0.396","0.36","0.0","3.98","328.0","17.42282","4","3"
"Ag2AgAgCl6","Ag","Ag","Ag","Cl","0.7734371518111262","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","0.75","1.286","0.462","0.536","1.93","125.6","34.83","10","11","1.81","0.66","0.725","0.0","3.16","349.0","12.96764","6","5"
"Ag2AgAgI6","Ag","Ag","Ag","I","0.7653908549079891","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","0.75","1.286","0.462","0.536","1.93","125.6","34.83","10","11","2.2","0.876","1.044","0.406","2.66","295.2","10.45126","12","11"
"Ag2AgAgBr6","Ag","Ag","Ag","Br","0.7700927633762735","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","0.75","1.286","0.462","0.536","1.93","125.6","34.83","10","11","1.96","0.73","0.851","0.224","2.96","324.6","11.81381","9","8"
"Ag2AgAlF6","Ag","Ag","Al","F","0.8248262341438611","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","0.535","1.044","1.312","0.0","1.61","42.5","28.44765","5","6","1.33","0.396","0.36","0.0","3.98","328.0","17.42282","4","3"
"Ag2AgAlCl6","Ag","Ag","Al","Cl","0.8040331016987788","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","0.535","1.044","1.312","0.0","1.61","42.5","28.44765","5","6","1.81","0.66","0.725","0.0","3.16","349.0","12.96764","6","5"
"Ag2AgAlI6","Ag","Ag","Al","I","0.791868575552433","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","0.535","1.044","1.312","0.0","1.61","42.5","28.44765","5","6","2.2","0.876","1.044","0.406","2.66","295.2","10.45126","12","11"
"Ag2AgAlBr6","Ag","Ag","Al","Br","0.7989628495359771","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","0.535","1.044","1.312","0.0","1.61","42.5","28.44765","5","6","1.96","0.73","0.851","0.224","2.96","324.6","11.81381","9","8"
"Ag2AgAsF6","Ag","Ag","As","F","0.8166144685384465","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","0.58","0.826","1.001","0.247","2.18","78.0","28.351","8","9","1.33","0.396","0.36","0.0","3.98","328.0","17.42282","4","3"
"Ag2AgAsCl6","Ag","Ag","As","Cl","0.7974306400972377","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","0.58","0.826","1.001","0.247","2.18","78.0","28.351","8","9","1.81","0.66","0.725","0.0","3.16","349.0","12.96764","6","5"
"Ag2AgAsI6","Ag","Ag","As","I","0.7861762295620401","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","0.58","0.826","1.001","0.247","2.18","78.0","28.351","8","9","2.2","0.876","1.044","0.406","2.66","295.2","10.45126","12","11"
"Ag2AgAsBr6","Ag","Ag","As","Br","0.7927425505343995","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","0.58","0.826","1.001","0.247","2.18","78.0","28.351","8","9","1.96","0.73","0.851","0.224","2.96","324.6","11.81381","9","8"
"Ag2AgBiF6","Ag","Ag","Bi","F","0.9368267507090807","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","0.0","0.963","1.295","0.542","2.02","91.2","25.559","15","16","1.33","0.396","0.36","0.0","3.98","328.0","17.42282","4","3"
"Ag2AgBiCl6","Ag","Ag","Bi","Cl","0.8918203893332374","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","0.0","0.963","1.295","0.542","2.02","91.2","25.559","15","16","1.81","0.66","0.725","0.0","3.16","349.0","12.96764","6","5"
"Ag2AgBiI6","Ag","Ag","Bi","I","0.866454788214502","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","0.0","0.963","1.295","0.542","2.02","91.2","25.559","15","16","2.2","0.876","1.044","0.406","2.66","295.2","10.45126","12","11"
"Ag2AgBiBr6","Ag","Ag","Bi","Br","0.8811638350170823","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","0.0","0.963","1.295","0.542","2.02","91.2","25.559","15","16","1.96","0.73","0.851","0.224","2.96","324.6","11.81381","9","8"
"Ag2AgBF6","Ag","Ag","B","F","0.8767452251291635","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","0.27","0.769","0.776","0.0","2.04","26.7","37.93064","3","4","1.33","0.396","0.36","0.0","3.98","328.0","17.42282","4","3"
"Ag2AgBCl6","Ag","Ag","B","Cl","0.8452456301224107","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","0.27","0.769","0.776","0.0","2.04","26.7","37.93064","3","4","1.81","0.66","0.725","0.0","3.16","349.0","12.96764","6","5"
"Ag2AgBI6","Ag","Ag","B","I","0.8271366717745161","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","0.27","0.769","0.776","0.0","2.04","26.7","37.93064","3","4","2.2","0.876","1.044","0.406","2.66","295.2","10.45126","12","11"
"Ag2AgBBr6","Ag","Ag","B","Br","0.8376694592484146","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","0.27","0.769","0.776","0.0","2.04","26.7","37.93064","3","4","1.96","0.73","0.851","0.224","2.96","324.6","11.81381","9","8"
"Ag2AgCoF6","Ag","Ag","Co","F","0.8229871566987242","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","0.545","1.181","0.355","0.0","1.88","118.4","33.5","7","8","1.33","0.396","0.36","0.0","3.98","328.0","17.42282","4","3"
"Ag2AgCoCl6","Ag","Ag","Co","Cl","0.8025564568839051","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","0.545","1.181","0.355","0.0","1.88","118.4","33.5","7","8","1.81","0.66","0.725","0.0","3.16","349.0","12.96764","6","5"
