formula,A,B1,B2,X,tolerance_factor,Eg,irA,rsA,rpA,rdA,XcA,eaA,ipA,hoalA,lualA,irB1,rsB1,rpB1,rdB1,XcB1,eaB1,ipB1,hoalB1,lualB1,irB2,rsB2,rpB2,rdB2,XcB2,eaB2,ipB2,hoalB2,lualB2,irX,rsX,rpX,rdX,XcX,eaX,ipX,hoalX,lualX
Cs2CaCaF6,Cs,Ca,Ca,F,0.97416857,6.8955,1.88,0.922,2.518,0,0.79,45.5,3.8939,12,13,1,1.69,0.539,0,1,2.37,11.871,7,6,1,1.69,0.539,0,1,2.37,11.871,7,6,1.33,0.396,0.36,0,3.98,328,17.42282,4,3
Cs2CaCaBr6,Cs,Ca,Ca,Br,0.917327716,4.3924,1.88,0.922,2.518,0,0.79,45.5,3.8939,12,13,1,1.69,0.539,0,1,2.37,11.871,7,6,1,1.69,0.539,0,1,2.37,11.871,7,6,1.96,0.73,0.851,0.224,2.96,324.6,11.81381,9,8
Cs2CdCdF6,Cs,Cd,Cd,F,0.859777563,3.2859,1.88,0.922,2.518,0,0.79,45.5,3.8939,12,13,1.31,0.184,0.445,0.508,1.69,0,8.9938,10,11,1.31,0.184,0.445,0.508,1.69,0,8.9938,10,11,1.33,0.396,0.36,0,3.98,328,17.42282,4,3
Cs2CdCdCl6,Cs,Cd,Cd,Cl,0.836289751,1.7462,1.88,0.922,2.518,0,0.79,45.5,3.8939,12,13,1.31,0.184,0.445,0.508,1.69,0,8.9938,10,11,1.31,0.184,0.445,0.508,1.69,0,8.9938,10,11,1.81,0.66,0.725,0,3.16,349,12.96764,6,5
Cs2CdCdBr6,Cs,Cd,Cd,Br,0.830363927,0.6968,1.88,0.922,2.518,0,0.79,45.5,3.8939,12,13,1.31,0.184,0.445,0.508,1.69,0,8.9938,10,11,1.31,0.184,0.445,0.508,1.69,0,8.9938,10,11,1.96,0.73,0.851,0.224,2.96,324.6,11.81381,9,8
Cs2GeGeCl6,Cs,Ge,Ge,Cl,1.027253552,3.67,1.88,0.922,2.518,0,0.79,45.5,3.8939,12,13,0.73,0.886,1.09,0.261,15.93462,119,15.934,9,8,0.73,0.886,1.09,0.261,15.93462,119,15.934,9,8,1.81,0.66,0.725,0,3.16,349,12.96764,6,5
Cs2GeGeI6,Cs,Ge,Ge,I,0.984640159,1.53,1.88,0.922,2.518,0,0.79,45.5,3.8939,12,13,0.73,0.886,1.09,0.261,15.93462,119,15.934,9,8,0.73,0.886,1.09,0.261,15.93462,119,15.934,9,8,2.2,0.876,1.044,0.406,2.66,295.2,10.45126,12,11
Cs2GeGeBr6,Cs,Ge,Ge,Br,1.009401502,2.32,1.88,0.922,2.518,0,0.79,45.5,3.8939,12,13,0.73,0.886,1.09,0.261,15.93462,119,15.934,9,8,0.73,0.886,1.09,0.261,15.93462,119,15.934,9,8,1.96,0.73,0.851,0.224,2.96,324.6,11.81381,9,8
Cs2MgMgBr6,Cs,Mg,Mg,Br,1.013167925,4.0445,1.88,0.922,2.518,0,0.79,45.5,3.8939,12,13,0.72,1.279,0.247,0,15.03528,0,15.035,5,4,0.72,1.279,0.247,0,15.03528,0,15.035,5,4,1.96,0.73,0.851,0.224,2.96,324.6,11.81381,9,8
Cs2MnMnBr6,Cs,Mn,Mn,Br,0.929893849,1.2909,1.88,0.922,2.518,0,0.79,45.5,3.8939,12,13,0.96,1.278,0.392,0.389,15.63999,0,15.64,8,7,0.96,1.278,0.392,0.389,15.63999,0,15.64,8,7,1.96,0.73,0.851,0.224,2.96,324.6,11.81381,9,8
Cs2NiNiF6,Cs,Ni,Ni,F,1.123669687,5.3618,1.88,0.922,2.518,0,0.79,45.5,3.8939,12,13,0.69,1.139,0.339,0.325,18.16884,112,18.168,8,7,0.69,1.139,0.339,0.325,18.16884,112,18.168,8,7,1.33,0.396,0.36,0,3.98,328,17.42282,4,3
Cs2NiNiCl6,Cs,Ni,Ni,Cl,1.043689609,0.8182,1.88,0.922,2.518,0,0.79,45.5,3.8939,12,13,0.69,1.139,0.339,0.325,18.16884,112,18.168,8,7,0.69,1.139,0.339,0.325,18.16884,112,18.168,8,7,1.81,0.66,0.725,0,3.16,349,12.96764,6,5
Cs2PbPbF6,Cs,Pb,Pb,F,0.900719352,2.9248,1.88,0.922,2.518,0,0.79,45.5,3.8939,12,13,1.19,1.01,1.09,0.562,15.0322,35.1,15.028,16,15,1.19,1.01,1.09,0.562,15.0322,35.1,15.028,16,15,1.33,0.396,0.36,0,3.98,328,17.42282,4,3
Cs2PbPbCl6,Cs,Pb,Pb,Cl,0.869741341,3,1.88,0.922,2.518,0,0.79,45.5,3.8939,12,13,1.19,1.01,1.09,0.562,15.0322,35.1,15.028,16,15,1.19,1.01,1.09,0.562,15.0322,35.1,15.028,16,15,1.81,0.66,0.725,0,3.16,349,12.96764,6,5
Cs2PbPbI6,Cs,Pb,Pb,I,0.85103117,1.73,1.88,0.922,2.518,0,0.79,45.5,3.8939,12,13,1.19,1.01,1.09,0.562,15.0322,35.1,15.028,16,15,1.19,1.01,1.09,0.562,15.0322,35.1,15.028,16,15,2.2,0.876,1.044,0.406,2.66,295.2,10.45126,12,11
Cs2PbPbBr6,Cs,Pb,Pb,Br,0.861996838,2.3,1.88,0.922,2.518,0,0.79,45.5,3.8939,12,13,1.19,1.01,1.09,0.562,15.0322,35.1,15.028,16,15,1.19,1.01,1.09,0.562,15.0322,35.1,15.028,16,15,1.96,0.73,0.851,0.224,2.96,324.6,11.81381,9,8
Cs2VVCl6,Cs,V,V,Cl,1.003547701,0.4835,1.88,0.922,2.518,0,0.79,45.5,3.8939,12,13,0.79,1.453,0.416,0.427,14.66,50.6,14.65,8,7,0.79,1.453,0.416,0.427,14.66,50.6,14.65,8,7,1.81,0.66,0.725,0,3.16,349,12.96764,6,5
Cs2VVBr6,Cs,V,V,Br,0.987378196,0.6528,1.88,0.922,2.518,0,0.79,45.5,3.8939,12,13,0.79,1.453,0.416,0.427,14.66,50.6,14.65,8,7,0.79,1.453,0.416,0.427,14.66,50.6,14.65,8,7,1.96,0.73,0.851,0.224,2.96,324.6,11.81381,9,8
K2MgMgF6,K,Mg,Mg,F,1.024442507,6.9537,1.64,2.162,0.593,0,0.82,48.4,4.34066,6,7,0.72,1.279,0.247,0,15.03528,0,15.035,5,4,0.72,1.279,0.247,0,15.03528,0,15.035,5,4,1.33,0.396,0.36,0,3.98,328,17.42282,4,3
K2MnMnF6,K,Mn,Mn,F,0.917077354,2.6633,1.64,2.162,0.593,0,0.82,48.4,4.34066,6,7,0.96,1.278,0.392,0.389,15.63999,0,15.64,8,7,0.96,1.278,0.392,0.389,15.63999,0,15.64,8,7,1.33,0.396,0.36,0,3.98,328,17.42282,4,3
K2MnMnF6,K,Mn,Mn,F,0.917077354,2.6633,1.64,2.162,0.593,0,0.82,48.4,4.34066,6,7,0.96,1.278,0.392,0.389,15.63999,0,15.64,8,7,0.96,1.278,0.392,0.389,15.63999,0,15.64,8,7,1.33,0.396,0.36,0,3.98,328,17.42282,4,3
K2NiNiF6,K,Ni,Ni,F,1.039657,4.5488,1.64,2.162,0.593,0,0.82,48.4,4.34066,6,7,0.69,1.139,0.339,0.325,18.16884,112,18.168,8,7,0.69,1.139,0.339,0.325,18.16884,112,18.168,8,7,1.33,0.396,0.36,0,3.98,328,17.42282,4,3
