"runo","best alpha","best gamma","ose","ise","cve"
"0","9.236708571873847e-05","","0.37426523329969763","0.13448339654040126","0.9312090408063141"
"1","9.236708571873847e-05","","0.7182780154343008","0.13646102127667423","0.8679567864864098"
"2","0.0007278953843983161","","0.3541025319405014","0.2265054528279518","0.7036344918189986"
"3","9.236708571873847e-05","","0.3774206821650765","0.13514290331399828","0.9114395308598491"
"4","0.0007278953843983161","","0.3101990560699035","0.22192615678193545","0.7866158859731737"
"5","9.236708571873847e-05","","0.30730323245495345","0.13559216466625812","0.8409258298586341"
"6","0.0007278953843983161","","0.3529383666099418","0.2212603349023942","0.8457807480674514"
"7","0.0007278953843983161","","0.45926887004216804","0.20823372727859119","0.8130176790499835"
"8","9.236708571873847e-05","","0.30788450722209565","0.13892920509155393","0.8927065821430576"
"9","9.236708571873847e-05","","0.284804520347976","0.15185319427987673","0.9026008328408284"
